name		parrow
type    	none
shadow  	0
nomove  	1
nolife          1
antigravity     100


anim idle
      loop	0
	delay	8
	offset	77 170
	frame	data/chars/misc/parrow.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/parrow.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/parrow.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/parrow.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/parrow.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/parrow.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/parrow.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/parrow.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/parrow.gif
	@cmd killentity getlocalvar("self")
	frame	data/chars/misc/empty.gif


